,schedule time,actual time,stand,trailer,direction
90,2023-06-02 13:50:00,2023-06-02 13:32:00,N7,2,1
91,2023-06-02 13:55:00,2023-06-02 13:44:00,N5,2,1
92,2023-06-02 13:55:00,2023-06-02 14:17:00,N32,2,1
93,2023-06-02 14:00:00,2023-06-02 13:36:00,R13,3,1
94,2023-06-02 14:00:00,2023-06-02 13:40:00,R14,3,1
95,2023-06-02 14:00:00,2023-06-02 13:32:00,N64,3,1
96,2023-06-02 14:00:00,2023-06-02 13:53:00,S11,3,1
97,2023-06-02 14:05:00,2023-06-02 13:50:00,W40,2,1
98,2023-06-02 14:10:00,2023-06-02 14:10:00,R16,3,1
99,2023-06-02 14:10:00,2023-06-02 13:51:00,W67,2,1
100,2023-06-02 14:15:00,2023-06-02 14:06:00,S23,3,1
101,2023-06-02 14:25:00,2023-06-02 13:52:00,W46,2,1
102,2023-06-02 14:25:00,2023-06-02 14:19:00,S35,3,1
103,2023-06-02 14:35:00,2023-06-02 14:25:00,N24,3,1
104,2023-06-02 14:40:00,2023-06-02 14:06:00,W71,2,1
105,2023-06-02 14:40:00,2023-06-02 15:27:00,W50,3,1
106,2023-06-02 14:40:00,2023-06-02 14:35:00,W42,3,1
107,2023-06-02 14:45:00,2023-06-02 14:24:00,R17,3,1
108,2023-06-02 14:55:00,2023-06-02 15:11:00,S2,2,1
109,2023-06-02 15:00:00,2023-06-02 15:05:00,N10,3,1
110,2023-06-02 15:00:00,2023-06-02 15:02:00,N36,2,1
111,2023-06-02 15:00:00,2023-06-02 15:03:00,S27,3,1
112,2023-06-02 15:00:00,2023-06-02 14:37:00,S49,3,1
113,2023-06-02 15:05:00,2023-06-02 15:11:00,N8,3,1
114,2023-06-02 15:05:00,2023-06-02 15:30:00,S45,2,1
115,2023-06-02 15:15:00,2023-06-02 14:54:00,W69,2,1
116,2023-06-02 15:20:00,2023-06-02 16:10:00,N6,3,1
117,2023-06-02 15:25:00,2023-06-02 16:19:00,S4,2,1
118,2023-06-02 15:25:00,2023-06-02 16:05:00,N26,3,1
119,2023-06-02 15:30:00,2023-06-02 15:30:00,R16,2,1
120,2023-06-02 15:30:00,2023-06-02 15:11:00,W48,2,1
121,2023-06-02 15:30:00,2023-06-02 15:16:00,R15,3,1
122,2023-06-02 15:45:00,2023-06-02 15:32:00,W40,3,1
123,2023-06-02 15:50:00,2023-06-02 15:29:00,N66,2,1
124,2023-06-02 15:55:00,2023-06-02 15:15:00,N34,2,1
125,2023-06-02 15:55:00,2023-06-02 15:57:00,W44,3,1
126,2023-06-02 16:00:00,2023-06-02 15:49:00,N30,2,1
