,schedule time,actual time,stand,trailer,direction
0,2023-06-05 00:20:00,2023-06-05 00:08:00,R15,2,1
1,2023-06-05 00:30:00,2023-06-05 00:17:00,R18,2,1
2,2023-06-05 02:00:00,2023-06-05 01:33:00,R16,3,1
3,2023-06-05 03:10:00,2023-06-05 02:56:00,S33,3,1
4,2023-06-05 04:20:00,2023-06-05 03:56:00,N10,3,1
5,2023-06-05 05:00:00,2023-06-05 05:35:00,S27,3,1
6,2023-06-05 05:10:00,2023-06-05 05:09:00,S1,3,1
7,2023-06-05 05:15:00,2023-06-05 05:54:00,N26,3,1
8,2023-06-05 05:40:00,2023-06-05 05:33:00,N6,2,1
9,2023-06-05 05:40:00,2023-06-05 05:12:00,S4,3,1
10,2023-06-05 05:45:00,2023-06-05 06:14:00,W44,3,1
11,2023-06-05 05:50:00,2023-06-05 05:40:00,N32,2,1
12,2023-06-05 06:00:00,2023-06-05 05:55:00,R14,3,1
13,2023-06-05 06:05:00,2023-06-05 06:26:00,N64,2,1
14,2023-06-05 06:05:00,2023-06-05 07:03:00,N24,2,1
15,2023-06-05 06:25:00,2023-06-05 06:06:00,S45,2,1
16,2023-06-05 06:45:00,2023-06-05 06:51:00,N36,2,1
17,2023-06-05 06:50:00,2023-06-05 06:10:00,W42,2,1
18,2023-06-05 06:50:00,2023-06-05 06:54:00,S3,2,1
19,2023-06-05 06:55:00,2023-06-05 06:50:00,N34,3,1
20,2023-06-05 06:55:00,2023-06-05 07:13:00,S41,2,1
21,2023-06-05 06:55:00,2023-06-05 06:24:00,N28,2,1
22,2023-06-05 07:10:00,2023-06-05 07:59:00,N66,2,1
23,2023-06-05 07:15:00,2023-06-05 07:53:00,N62,2,1
24,2023-06-05 07:40:00,2023-06-05 08:11:00,N5,3,1
25,2023-06-05 07:45:00,2023-06-05 07:36:00,R17,2,1
26,2023-06-05 08:15:00,2023-06-05 08:20:00,R18,2,1
27,2023-06-05 08:30:00,2023-06-05 08:20:00,N68,3,1
28,2023-06-05 08:50:00,2023-06-05 09:13:00,N32,3,1
29,2023-06-05 08:55:00,2023-06-05 09:46:00,N68,2,1
30,2023-06-05 09:10:00,2023-06-05 08:46:00,S4,2,1
31,2023-06-05 09:15:00,2023-06-05 09:10:00,S25,2,1
32,2023-06-05 09:25:00,2023-06-05 09:20:00,R14,2,1
33,2023-06-05 09:45:00,2023-06-05 09:57:00,N62,3,1
34,2023-06-05 09:45:00,2023-06-05 09:49:00,S29,2,1
35,2023-06-05 09:50:00,2023-06-05 09:49:00,S2,3,1
36,2023-06-05 09:55:00,2023-06-05 09:45:00,S1,2,1
37,2023-06-05 10:05:00,2023-06-05 09:52:00,N7,2,1
38,2023-06-05 10:05:00,2023-06-05 10:03:00,N9,2,1
39,2023-06-05 10:10:00,2023-06-05 10:33:00,N24,2,1
40,2023-06-05 10:10:00,2023-06-05 10:04:00,S31,2,1
41,2023-06-05 10:15:00,2023-06-05 10:01:00,R17,3,1
42,2023-06-05 10:15:00,2023-06-05 10:15:00,R13,3,1
43,2023-06-05 10:30:00,2023-06-05 10:16:00,S3,2,1
44,2023-06-05 10:30:00,2023-06-05 10:13:00,N30,3,1
45,2023-06-05 10:40:00,2023-06-05 11:12:00,S4,3,1
46,2023-06-05 10:50:00,2023-06-05 10:43:00,N32,3,1
47,2023-06-05 11:00:00,2023-06-05 10:45:00,S23,3,1
48,2023-06-05 11:00:00,2023-06-05 10:36:00,S35,3,1
49,2023-06-05 11:05:00,2023-06-05 10:54:00,S11,2,1
50,2023-06-05 11:10:00,2023-06-05 11:17:00,N10,3,1
51,2023-06-05 11:15:00,2023-06-05 11:09:00,W67,3,1
52,2023-06-05 11:20:00,2023-06-05 11:24:00,S25,2,1
53,2023-06-05 11:30:00,2023-06-05 11:26:00,W50,2,1
54,2023-06-05 11:30:00,2023-06-05 11:26:00,R16,3,1
55,2023-06-05 11:30:00,2023-06-05 11:08:00,N28,3,1
56,2023-06-05 11:40:00,2023-06-05 11:35:00,R21,3,1
57,2023-06-05 11:45:00,2023-06-05 11:44:00,W40,3,1
58,2023-06-05 11:50:00,2023-06-05 11:33:00,W65,3,1
59,2023-06-05 11:50:00,2023-06-05 11:12:00,N68,3,1
60,2023-06-05 11:50:00,2023-06-05 11:48:00,N70,3,1
61,2023-06-05 11:55:00,2023-06-05 11:24:00,N7,3,1
62,2023-06-05 12:10:00,2023-06-05 12:27:00,S27,2,1
63,2023-06-05 12:10:00,2023-06-05 12:06:00,S29,3,1
64,2023-06-05 12:15:00,2023-06-05 12:06:00,N9,2,1
65,2023-06-05 12:15:00,2023-06-05 11:52:00,W42,2,1
66,2023-06-05 12:20:00,2023-06-05 11:52:00,W44,2,1
67,2023-06-05 12:20:00,2023-06-05 12:13:00,N32,2,1
68,2023-06-05 12:25:00,2023-06-05 12:15:00,N8,2,1
69,2023-06-05 12:30:00,2023-06-05 12:28:00,S1,2,1
70,2023-06-05 12:30:00,2023-06-05 12:32:00,N28,2,1
71,2023-06-05 12:40:00,2023-06-05 13:06:00,N30,3,1
