,schedule time,actual time,stand,trailer,direction
90,2023-06-01 14:20:00,2023-06-01 14:20:00,N68,3,1
91,2023-06-01 14:25:00,2023-06-01 14:35:00,S27,2,1
92,2023-06-01 14:30:00,2023-06-01 14:46:00,R21,3,1
93,2023-06-01 14:35:00,2023-06-01 14:46:00,N8,3,1
94,2023-06-01 14:40:00,2023-06-01 14:29:00,S31,2,1
95,2023-06-01 14:45:00,2023-06-01 14:43:00,R17,2,1
96,2023-06-01 14:55:00,2023-06-01 14:07:00,W40,3,1
97,2023-06-01 14:55:00,2023-06-01 14:22:00,N60,3,1
98,2023-06-01 15:00:00,2023-06-01 15:34:00,R15,2,1
99,2023-06-01 15:00:00,2023-06-01 15:15:00,S4,3,1
100,2023-06-01 15:00:00,2023-06-01 15:32:00,N9,2,1
101,2023-06-01 15:05:00,2023-06-01 16:33:00,W65,3,1
102,2023-06-01 15:05:00,2023-06-01 15:28:00,S25,2,1
103,2023-06-01 15:10:00,2023-06-01 15:42:00,R19,3,1
104,2023-06-01 15:15:00,2023-06-01 15:18:00,S11,2,1
105,2023-06-01 15:20:00,2023-06-01 16:09:00,S49,3,1
106,2023-06-01 15:25:00,2023-06-01 15:33:00,S29,3,1
107,2023-06-01 15:30:00,2023-06-01 15:52:00,R13,3,1
108,2023-06-01 15:30:00,2023-06-01 16:16:00,R14,3,1
109,2023-06-01 15:45:00,2023-06-01 15:31:00,N28,3,1
110,2023-06-01 15:45:00,2023-06-01 16:08:00,N5,3,1
111,2023-06-01 15:50:00,2023-06-01 15:23:00,S41,3,1
112,2023-06-01 15:55:00,2023-06-01 15:41:00,N68,2,1
113,2023-06-01 16:00:00,2023-06-01 16:30:00,W63,3,1
114,2023-06-01 16:00:00,2023-06-01 17:22:00,R19,3,1
115,2023-06-01 16:00:00,2023-06-01 15:47:00,W44,3,1
116,2023-06-01 16:05:00,2023-06-01 16:02:00,S45,2,1
117,2023-06-01 16:15:00,2023-06-01 16:19:00,N24,2,1
118,2023-06-01 16:15:00,2023-06-01 16:38:00,W67,3,1
119,2023-06-01 16:15:00,2023-06-01 16:15:00,S27,2,1
120,2023-06-01 16:25:00,2023-06-01 16:30:00,N62,3,1
121,2023-06-01 16:25:00,2023-06-01 16:37:00,R18,2,1
122,2023-06-01 16:30:00,2023-06-01 16:45:00,N26,2,1
123,2023-06-01 16:30:00,2023-06-01 16:49:00,S2,3,1
124,2023-06-01 16:30:00,2023-06-01 17:29:00,S11,3,1
125,2023-06-01 16:35:00,2023-06-01 16:13:00,W46,2,1
126,2023-06-01 16:35:00,2023-06-01 16:58:00,N6,2,1
127,2023-06-01 16:45:00,2023-06-01 17:34:00,N28,3,1
128,2023-06-01 16:50:00,2023-06-01 16:23:00,N8,2,1
129,2023-06-01 16:55:00,2023-06-01 16:35:00,R16,2,1
130,2023-06-01 16:55:00,2023-06-01 16:49:00,N9,2,1
131,2023-06-01 17:00:00,2023-06-01 16:57:00,S47,3,1
132,2023-06-01 17:00:00,2023-06-01 16:43:00,W40,2,1
133,2023-06-01 17:00:00,2023-06-01 17:29:00,S43,2,1
134,2023-06-01 17:15:00,2023-06-01 17:41:00,S1,3,1
135,2023-06-01 17:15:00,2023-06-01 17:29:00,N10,3,1
136,2023-06-01 17:35:00,2023-06-01 17:42:00,N66,2,1
137,2023-06-01 17:40:00,2023-06-01 17:33:00,W69,3,1
138,2023-06-01 17:40:00,2023-06-01 17:56:00,W71,2,1
