,schedule time,actual time,stand,trailer,direction
0,2023-06-03 01:15:00,2023-06-03 00:52:00,S41,2,1
1,2023-06-03 01:25:00,2023-06-03 03:05:00,R13,3,1
2,2023-06-03 02:00:00,2023-06-03 01:40:00,R18,3,1
3,2023-06-03 03:10:00,2023-06-03 02:45:00,R21,2,1
4,2023-06-03 04:40:00,2023-06-03 04:52:00,S27,3,1
5,2023-06-03 05:00:00,2023-06-03 04:45:00,N5,2,1
6,2023-06-03 05:10:00,2023-06-03 04:53:00,N64,2,1
7,2023-06-03 05:35:00,2023-06-03 06:00:00,N30,3,1
8,2023-06-03 05:40:00,2023-06-03 05:28:00,S35,3,1
9,2023-06-03 05:45:00,2023-06-03 06:10:00,S23,3,1
10,2023-06-03 05:50:00,2023-06-03 05:23:00,S4,2,1
11,2023-06-03 06:05:00,2023-06-03 08:16:00,S3,2,1
12,2023-06-03 06:05:00,2023-06-03 05:55:00,S2,2,1
13,2023-06-03 06:25:00,2023-06-03 06:49:00,S45,3,1
14,2023-06-03 06:45:00,2023-06-03 07:51:00,W67,3,1
15,2023-06-03 06:50:00,2023-06-03 06:19:00,S49,3,1
16,2023-06-03 06:55:00,2023-06-03 07:14:00,S31,2,1
17,2023-06-03 06:55:00,2023-06-03 07:28:00,N32,2,1
18,2023-06-03 06:55:00,2023-06-03 08:42:00,S43,2,1
19,2023-06-03 06:55:00,2023-06-03 06:34:00,N6,2,1
20,2023-06-03 07:10:00,2023-06-03 08:05:00,S41,2,1
21,2023-06-03 07:15:00,2023-06-03 07:23:00,N36,3,1
22,2023-06-03 07:30:00,2023-06-03 07:27:00,S47,3,1
23,2023-06-03 07:30:00,2023-06-03 08:18:00,N66,2,1
24,2023-06-03 07:40:00,2023-06-03 08:23:00,N60,3,1
25,2023-06-03 07:45:00,2023-06-03 07:44:00,R16,3,1
26,2023-06-03 08:10:00,2023-06-03 08:38:00,N34,3,1
27,2023-06-03 08:30:00,2023-06-03 08:22:00,N8,2,1
28,2023-06-03 08:50:00,2023-06-03 08:50:00,N24,2,1
29,2023-06-03 08:55:00,2023-06-03 09:12:00,N30,2,1
30,2023-06-03 09:10:00,2023-06-03 09:01:00,R15,2,1
31,2023-06-03 09:10:00,2023-06-03 09:16:00,W42,3,1
32,2023-06-03 09:15:00,2023-06-03 09:02:00,N28,3,1
33,2023-06-03 09:45:00,2023-06-03 10:43:00,W50,3,1
34,2023-06-03 09:45:00,2023-06-03 09:50:00,N26,3,1
35,2023-06-03 09:50:00,2023-06-03 10:12:00,S45,2,1
36,2023-06-03 09:55:00,2023-06-03 09:52:00,S4,2,1
37,2023-06-03 10:05:00,2023-06-03 10:19:00,S33,3,1
38,2023-06-03 10:05:00,2023-06-03 10:20:00,N8,2,1
39,2023-06-03 10:10:00,2023-06-03 10:20:00,N64,3,1
40,2023-06-03 10:10:00,2023-06-03 10:12:00,N9,2,1
41,2023-06-03 10:15:00,2023-06-03 10:03:00,R17,2,1
42,2023-06-03 10:15:00,2023-06-03 09:59:00,R21,2,1
43,2023-06-03 10:30:00,2023-06-03 10:44:00,S11,3,1
44,2023-06-03 10:30:00,2023-06-03 10:03:00,N62,2,1
45,2023-06-03 10:40:00,2023-06-03 11:33:00,N30,2,1
46,2023-06-03 11:00:00,2023-06-03 10:41:00,N68,2,1
47,2023-06-03 11:05:00,2023-06-03 11:12:00,W71,3,1
48,2023-06-03 11:10:00,2023-06-03 11:22:00,N26,2,1
49,2023-06-03 11:15:00,2023-06-03 11:05:00,W69,2,1
50,2023-06-03 11:20:00,2023-06-03 14:29:00,S27,2,1
51,2023-06-03 11:20:00,2023-06-03 11:14:00,W65,2,1
52,2023-06-03 11:30:00,2023-06-03 11:48:00,S43,3,1
53,2023-06-03 11:30:00,2023-06-03 11:27:00,W40,3,1
54,2023-06-03 11:30:00,2023-06-03 10:51:00,N7,3,1
55,2023-06-03 11:35:00,2023-06-03 11:39:00,N9,2,1
56,2023-06-03 11:40:00,2023-06-03 11:20:00,R18,2,1
57,2023-06-03 11:45:00,2023-06-03 12:02:00,W63,3,1
58,2023-06-03 11:50:00,2023-06-03 11:45:00,S33,3,1
59,2023-06-03 11:50:00,2023-06-03 11:37:00,S25,3,1
60,2023-06-03 11:55:00,2023-06-03 12:53:00,N60,3,1
61,2023-06-03 12:10:00,2023-06-03 12:27:00,S31,3,1
62,2023-06-03 12:10:00,2023-06-03 12:01:00,W48,3,1
63,2023-06-03 12:15:00,2023-06-03 11:56:00,S3,3,1
64,2023-06-03 12:15:00,2023-06-03 14:31:00,S11,3,1
65,2023-06-03 12:20:00,2023-06-03 12:01:00,S35,2,1
66,2023-06-03 12:20:00,2023-06-03 12:19:00,N8,3,1
67,2023-06-03 12:25:00,2023-06-03 12:17:00,N62,2,1
68,2023-06-03 12:30:00,2023-06-03 12:18:00,S1,3,1
69,2023-06-03 12:30:00,2023-06-03 12:22:00,N24,3,1
70,2023-06-03 12:40:00,2023-06-03 12:26:00,N10,2,1
