,schedule time,actual time,stand,trailer,direction
90,2023-06-04 11:50:00,2023-06-04 11:49:00,N68,2,0
91,2023-06-04 11:55:00,2023-06-04 12:09:00,S11,3,0
92,2023-06-04 12:00:00,2023-06-04 11:59:00,W67,2,0
93,2023-06-04 12:05:00,2023-06-04 12:20:00,S29,2,0
94,2023-06-04 12:05:00,2023-06-04 12:09:00,S31,2,0
95,2023-06-04 12:15:00,2023-06-04 14:03:00,,2,0
96,2023-06-04 12:20:00,2023-06-04 13:13:00,N9,2,0
97,2023-06-04 12:20:00,2023-06-04 12:17:00,S45,3,0
98,2023-06-04 12:25:00,2023-06-04 12:35:00,N6,2,0
99,2023-06-04 12:25:00,2023-06-04 12:22:00,R18,2,0
100,2023-06-04 12:30:00,2023-06-04 12:18:00,W40,3,0
101,2023-06-04 12:30:00,2023-06-04 12:31:00,N70,2,0
102,2023-06-04 12:35:00,2023-06-04 12:30:00,N34,2,0
103,2023-06-04 12:40:00,2023-06-04 13:01:00,S3,3,0
104,2023-06-04 12:45:00,2023-06-04 12:42:00,S23,2,0
105,2023-06-04 12:45:00,2023-06-04 12:59:00,S1,2,0
106,2023-06-04 12:45:00,2023-06-04 12:59:00,R16,3,0
107,2023-06-04 12:45:00,2023-06-04 14:15:00,S43,3,0
108,2023-06-04 12:50:00,2023-06-04 12:46:00,W63,2,0
109,2023-06-04 12:50:00,2023-06-04 12:56:00,S25,3,0
110,2023-06-04 12:55:00,2023-06-04 12:57:00,N28,3,0
111,2023-06-04 12:55:00,2023-06-04 12:57:00,R21,3,0
112,2023-06-04 13:00:00,2023-06-04 12:57:00,W44,3,0
113,2023-06-04 13:10:00,2023-06-04 13:07:00,R17,2,0
114,2023-06-04 13:20:00,2023-06-04 13:14:00,N60,3,0
115,2023-06-04 13:25:00,2023-06-04 13:50:00,S4,2,0
116,2023-06-04 13:25:00,2023-06-04 13:28:00,R13,3,0
117,2023-06-04 13:35:00,2023-06-04 13:31:00,S33,2,0
118,2023-06-04 13:40:00,2023-06-04 14:02:00,N32,3,0
119,2023-06-04 13:40:00,2023-06-04 13:53:00,S35,2,0
120,2023-06-04 13:40:00,2023-06-04 13:41:00,S47,3,0
121,2023-06-04 13:55:00,2023-06-04 14:03:00,S11,3,0
122,2023-06-04 13:55:00,2023-06-04 14:01:00,S41,2,0
123,2023-06-04 14:00:00,2023-06-04 13:56:00,R19,2,0
124,2023-06-04 14:05:00,2023-06-04 13:56:00,N10,3,0
125,2023-06-04 14:05:00,2023-06-04 14:04:00,N8,2,0
126,2023-06-04 14:10:00,2023-06-04 14:22:00,N70,2,0
127,2023-06-04 14:25:00,2023-06-04 14:25:00,S29,2,0
128,2023-06-04 14:25:00,2023-06-04 14:21:00,W69,2,0
129,2023-06-04 14:30:00,2023-06-04 14:23:00,S45,3,0
130,2023-06-04 14:35:00,2023-06-04 14:28:00,S27,2,0
131,2023-06-04 14:35:00,2023-06-04 15:34:00,N36,2,0
132,2023-06-04 14:40:00,2023-06-04 14:37:00,R17,2,0
133,2023-06-04 14:55:00,2023-06-04 15:01:00,S25,3,0
134,2023-06-04 14:55:00,2023-06-04 14:49:00,W40,3,0
135,2023-06-04 15:00:00,2023-06-04 15:02:00,W46,3,0
136,2023-06-04 15:05:00,2023-06-04 14:58:00,N26,2,0
137,2023-06-04 15:05:00,2023-06-04 15:20:00,W48,3,0
