,schedule time,actual time,stand,trailer,direction
90,2023-06-01 11:55:00,2023-06-01 12:23:00,N8,3,0
91,2023-06-01 12:00:00,2023-06-01 12:32:00,S11,2,0
92,2023-06-01 12:05:00,2023-06-01 12:18:00,N24,3,0
93,2023-06-01 12:05:00,2023-06-01 12:40:00,S43,3,0
94,2023-06-01 12:15:00,2023-06-01 13:38:00,S2,3,0
95,2023-06-01 12:20:00,2023-06-01 12:48:00,S41,3,0
96,2023-06-01 12:25:00,2023-06-01 12:56:00,N5,3,0
97,2023-06-01 12:25:00,2023-06-01 12:43:00,R14,2,0
98,2023-06-01 12:30:00,2023-06-01 12:33:00,N10,3,0
99,2023-06-01 12:30:00,2023-06-01 12:56:00,S47,3,0
100,2023-06-01 12:35:00,2023-06-01 12:35:00,R17,3,0
101,2023-06-01 12:45:00,2023-06-01 12:52:00,N68,2,0
102,2023-06-01 12:45:00,2023-06-01 13:16:00,W48,3,0
103,2023-06-01 12:45:00,2023-06-01 12:51:00,R13,3,0
104,2023-06-01 12:45:00,2023-06-01 12:50:00,R21,2,0
105,2023-06-01 12:45:00,2023-06-01 13:51:00,W40,3,0
106,2023-06-01 12:50:00,2023-06-01 12:59:00,N66,2,0
107,2023-06-01 12:50:00,2023-06-01 13:11:00,N6,3,0
108,2023-06-01 12:55:00,2023-06-01 13:26:00,N36,3,0
109,2023-06-01 13:00:00,2023-06-01 13:22:00,R15,3,0
110,2023-06-01 13:05:00,2023-06-01 13:07:00,S35,3,0
111,2023-06-01 13:10:00,2023-06-01 13:12:00,R18,3,0
112,2023-06-01 13:10:00,2023-06-01 13:29:00,S3,3,0
113,2023-06-01 13:20:00,2023-06-01 13:33:00,W42,2,0
114,2023-06-01 13:25:00,2023-06-01 13:48:00,S49,2,0
115,2023-06-01 13:35:00,2023-06-01 13:32:00,N60,3,0
116,2023-06-01 13:40:00,2023-06-01 13:39:00,S31,3,0
117,2023-06-01 13:40:00,2023-06-01 13:45:00,S4,2,0
118,2023-06-01 13:40:00,2023-06-01 14:01:00,S41,2,0
119,2023-06-01 13:55:00,2023-06-01 13:47:00,N8,3,0
120,2023-06-01 14:05:00,2023-06-01 14:09:00,W44,2,0
121,2023-06-01 14:25:00,2023-06-01 14:30:00,S45,2,0
122,2023-06-01 14:25:00,2023-06-01 14:27:00,W65,3,0
123,2023-06-01 14:30:00,2023-06-01 14:33:00,S11,3,0
124,2023-06-01 14:35:00,2023-06-01 14:25:00,N9,3,0
125,2023-06-01 14:40:00,2023-06-01 14:41:00,S25,2,0
126,2023-06-01 14:45:00,2023-06-01 14:38:00,R19,2,0
127,2023-06-01 14:55:00,2023-06-01 14:59:00,R13,3,0
128,2023-06-01 14:55:00,2023-06-01 14:48:00,R14,2,0
129,2023-06-01 15:00:00,2023-06-01 14:58:00,S29,3,0
130,2023-06-01 15:05:00,2023-06-01 15:10:00,N28,2,0
131,2023-06-01 15:05:00,2023-06-01 15:04:00,N5,3,0
132,2023-06-01 15:10:00,2023-06-01 15:10:00,W46,3,0
133,2023-06-01 15:15:00,2023-06-01 15:11:00,N6,2,0
134,2023-06-01 15:20:00,2023-06-01 15:27:00,N68,2,0
135,2023-06-01 15:25:00,2023-06-01 15:43:00,S27,3,0
136,2023-06-01 15:30:00,2023-06-01 15:21:00,R18,2,0
137,2023-06-01 15:35:00,2023-06-01 15:33:00,N24,2,0
138,2023-06-01 15:35:00,2023-06-01 15:32:00,N8,2,0
139,2023-06-01 15:40:00,2023-06-01 15:45:00,S23,3,0
140,2023-06-01 15:45:00,2023-06-01 15:48:00,S2,2,0
141,2023-06-01 15:50:00,2023-06-01 16:31:00,R15,2,0
142,2023-06-01 15:50:00,2023-06-01 15:51:00,R16,3,0
143,2023-06-01 15:55:00,2023-06-01 16:05:00,N62,3,0
144,2023-06-01 16:00:00,2023-06-01 15:56:00,N60,2,0
145,2023-06-01 16:10:00,2023-06-01 16:19:00,S1,3,0
146,2023-06-01 16:10:00,2023-06-01 16:13:00,S47,3,0
147,2023-06-01 16:15:00,2023-06-01 15:55:00,W40,3,0
148,2023-06-01 16:20:00,2023-06-01 16:20:00,N26,2,0
149,2023-06-01 16:25:00,2023-06-01 16:37:00,N9,2,0
150,2023-06-01 16:25:00,2023-06-01 16:37:00,R19,2,0
151,2023-06-01 16:30:00,2023-06-01 16:44:00,W69,2,0
152,2023-06-01 16:35:00,2023-06-01 16:38:00,S11,3,0
153,2023-06-01 16:40:00,2023-06-01 16:45:00,N30,2,0
154,2023-06-01 16:45:00,2023-06-01 16:50:00,N28,3,0
155,2023-06-01 16:45:00,2023-06-01 16:56:00,N34,2,0
156,2023-06-01 16:45:00,2023-06-01 16:47:00,N66,3,0
157,2023-06-01 16:50:00,2023-06-01 17:29:00,S41,3,0
158,2023-06-01 16:50:00,2023-06-01 17:05:00,N36,2,0
159,2023-06-01 16:50:00,2023-06-01 17:05:00,S43,2,0
160,2023-06-01 16:55:00,2023-06-01 17:08:00,R13,3,0
161,2023-06-01 17:00:00,2023-06-01 17:07:00,N10,3,0
162,2023-06-01 17:00:00,2023-06-01 17:04:00,W44,3,0
163,2023-06-01 17:15:00,2023-06-01 17:21:00,S27,2,0
164,2023-06-01 17:25:00,2023-06-01 17:20:00,N68,3,0
165,2023-06-01 17:25:00,2023-06-01 17:24:00,W71,3,0
166,2023-06-01 17:30:00,2023-06-01 17:37:00,N62,3,0
167,2023-06-01 17:30:00,2023-06-01 17:38:00,W50,2,0
168,2023-06-01 17:35:00,2023-06-01 18:01:00,N26,2,0
169,2023-06-01 17:35:00,2023-06-01 17:30:00,R14,2,0
170,2023-06-01 17:45:00,2023-06-01 17:52:00,N24,2,0
171,2023-06-01 17:45:00,2023-06-01 17:52:00,N32,2,0
172,2023-06-01 17:45:00,2023-06-01 17:55:00,W42,3,0
173,2023-06-01 17:50:00,2023-06-01 17:45:00,N8,2,0
174,2023-06-01 18:00:00,2023-06-01 18:14:00,S47,2,0
175,2023-06-01 18:00:00,2023-06-01 18:45:00,S45,3,0
176,2023-06-01 18:05:00,2023-06-01 17:56:00,W46,2,0
177,2023-06-01 18:05:00,2023-06-01 18:06:00,R17,2,0
