,schedule time,actual time,stand,trailer,direction
0,2023-06-04 02:00:00,2023-06-04 01:44:00,R18,3,1
1,2023-06-04 03:10:00,2023-06-04 02:27:00,N8,3,1
2,2023-06-04 04:30:00,2023-06-04 07:07:00,S35,3,1
3,2023-06-04 05:00:00,2023-06-04 05:03:00,S1,2,1
4,2023-06-04 05:00:00,2023-06-04 04:46:00,N7,3,1
5,2023-06-04 05:00:00,2023-06-04 05:35:00,N5,2,1
6,2023-06-04 05:10:00,2023-06-04 05:07:00,S2,3,1
7,2023-06-04 05:35:00,2023-06-04 05:43:00,S25,2,1
8,2023-06-04 05:40:00,2023-06-04 06:06:00,N28,2,1
9,2023-06-04 05:50:00,2023-06-04 05:29:00,N6,3,1
10,2023-06-04 06:00:00,2023-06-04 05:54:00,S27,2,1
11,2023-06-04 06:05:00,2023-06-04 07:17:00,N64,3,1
12,2023-06-04 06:05:00,2023-06-04 05:41:00,N26,3,1
13,2023-06-04 06:25:00,2023-06-04 06:19:00,N66,3,1
14,2023-06-04 06:45:00,2023-06-04 07:42:00,S47,3,1
15,2023-06-04 06:45:00,2023-06-04 06:54:00,W50,2,1
16,2023-06-04 06:50:00,2023-06-04 06:35:00,N36,2,1
17,2023-06-04 06:55:00,2023-06-04 06:50:00,S33,3,1
18,2023-06-04 07:00:00,2023-06-04 07:34:00,S3,3,1
19,2023-06-04 07:10:00,2023-06-04 07:51:00,S2,3,1
20,2023-06-04 07:15:00,2023-06-04 07:12:00,S45,3,1
21,2023-06-04 07:30:00,2023-06-04 07:52:00,N32,2,1
22,2023-06-04 07:30:00,2023-06-04 07:48:00,S29,2,1
23,2023-06-04 07:30:00,2023-06-04 08:03:00,N62,2,1
24,2023-06-04 07:40:00,2023-06-04 08:40:00,W42,2,1
25,2023-06-04 07:45:00,2023-06-04 07:54:00,R18,2,1
26,2023-06-04 08:05:00,2023-06-04 08:28:00,S27,3,1
27,2023-06-04 08:10:00,2023-06-04 08:30:00,N10,3,1
28,2023-06-04 08:30:00,2023-06-04 08:30:00,W71,2,1
29,2023-06-04 08:50:00,2023-06-04 09:25:00,N30,3,1
30,2023-06-04 08:55:00,2023-06-04 09:05:00,N70,2,1
31,2023-06-04 09:10:00,2023-06-04 08:48:00,N36,2,1
32,2023-06-04 09:15:00,2023-06-04 08:59:00,N9,2,1
33,2023-06-04 09:45:00,2023-06-04 09:33:00,S49,2,1
34,2023-06-04 09:45:00,2023-06-04 09:37:00,N8,2,1
35,2023-06-04 09:55:00,2023-06-04 09:43:00,W67,2,1
36,2023-06-04 10:05:00,2023-06-04 10:02:00,S27,2,1
37,2023-06-04 10:05:00,2023-06-04 09:56:00,N24,2,1
38,2023-06-04 10:10:00,2023-06-04 09:48:00,S41,3,1
39,2023-06-04 10:10:00,2023-06-04 09:44:00,W50,3,1
40,2023-06-04 10:10:00,2023-06-04 10:04:00,N10,2,1
41,2023-06-04 10:15:00,2023-06-04 09:55:00,N34,2,1
42,2023-06-04 10:15:00,2023-06-04 09:46:00,R19,3,1
43,2023-06-04 10:30:00,2023-06-04 11:32:00,N9,3,1
44,2023-06-04 10:30:00,2023-06-04 10:25:00,S35,3,1
45,2023-06-04 10:30:00,2023-06-04 10:12:00,S33,3,1
46,2023-06-04 10:50:00,2023-06-04 10:31:00,N68,2,1
47,2023-06-04 10:55:00,2023-06-04 10:46:00,S29,3,1
48,2023-06-04 11:00:00,2023-06-04 10:48:00,N30,3,1
49,2023-06-04 11:00:00,2023-06-04 10:39:00,S31,2,1
50,2023-06-04 11:05:00,2023-06-04 11:16:00,S1,2,1
51,2023-06-04 11:10:00,2023-06-04 11:24:00,S11,2,1
52,2023-06-04 11:15:00,2023-06-04 11:20:00,S23,2,1
53,2023-06-04 11:20:00,2023-06-04 11:20:00,N6,3,1
54,2023-06-04 11:20:00,2023-06-04 11:05:00,S45,3,1
55,2023-06-04 11:30:00,2023-06-04 11:16:00,W40,2,1
56,2023-06-04 11:30:00,2023-06-04 12:06:00,N7,2,1
57,2023-06-04 11:30:00,2023-06-04 11:35:00,R18,3,1
58,2023-06-04 11:30:00,2023-06-04 11:10:00,N70,2,1
59,2023-06-04 11:40:00,2023-06-04 11:26:00,R16,2,1
60,2023-06-04 11:45:00,2023-06-04 11:41:00,S43,3,1
61,2023-06-04 11:50:00,2023-06-04 11:30:00,W63,2,1
62,2023-06-04 11:50:00,2023-06-04 11:40:00,S25,3,1
63,2023-06-04 11:55:00,2023-06-04 11:37:00,N28,3,1
64,2023-06-04 12:10:00,2023-06-04 12:15:00,N32,3,1
65,2023-06-04 12:10:00,2023-06-04 12:03:00,W46,3,1
66,2023-06-04 12:15:00,2023-06-04 11:54:00,S41,2,1
67,2023-06-04 12:20:00,2023-06-04 11:48:00,N60,3,1
68,2023-06-04 12:20:00,2023-06-04 12:06:00,S33,2,1
69,2023-06-04 12:30:00,2023-06-04 12:08:00,W69,2,1
70,2023-06-04 12:30:00,2023-06-04 12:31:00,N26,3,1
71,2023-06-04 12:40:00,2023-06-04 12:39:00,S47,3,1
72,2023-06-04 12:55:00,2023-06-04 12:54:00,S11,3,1
73,2023-06-04 12:55:00,2023-06-04 12:42:00,R15,3,1
74,2023-06-04 12:55:00,2023-06-04 13:13:00,S49,2,1
75,2023-06-04 13:00:00,2023-06-04 12:46:00,S29,3,1
76,2023-06-04 13:00:00,2023-06-04 13:01:00,N70,3,1
77,2023-06-04 13:05:00,2023-06-04 12:32:00,S27,3,1
78,2023-06-04 13:05:00,2023-06-04 12:53:00,N5,3,1
79,2023-06-04 13:05:00,2023-06-04 13:04:00,W40,3,1
80,2023-06-04 13:15:00,2023-06-04 12:47:00,S31,3,1
81,2023-06-04 13:15:00,2023-06-04 14:13:00,N36,2,1
82,2023-06-04 13:20:00,2023-06-04 13:05:00,R14,2,1
83,2023-06-04 13:30:00,2023-06-04 13:21:00,S45,3,1
84,2023-06-04 13:30:00,2023-06-04 13:38:00,N6,3,1
85,2023-06-04 13:35:00,2023-06-04 13:42:00,S25,2,1
86,2023-06-04 13:40:00,2023-06-04 14:05:00,W42,2,1
87,2023-06-04 13:40:00,2023-06-04 14:02:00,N28,3,1
88,2023-06-04 13:40:00,2023-06-04 13:29:00,N68,3,1
89,2023-06-04 13:45:00,2023-06-04 13:45:00,R17,3,1
90,2023-06-04 13:50:00,2023-06-04 13:23:00,W63,3,1
91,2023-06-04 13:50:00,2023-06-04 14:03:00,S1,3,1
92,2023-06-04 13:55:00,2023-06-04 14:23:00,S23,2,1
93,2023-06-04 14:00:00,2023-06-04 13:43:00,R21,3,1
94,2023-06-04 14:00:00,2023-06-04 16:41:00,S29,3,1
95,2023-06-04 14:05:00,2023-06-04 14:03:00,W48,2,1
96,2023-06-04 14:10:00,2023-06-04 14:18:00,S11,2,1
97,2023-06-04 14:10:00,2023-06-04 14:05:00,W67,2,1
98,2023-06-04 14:15:00,2023-06-04 13:54:00,N7,3,1
99,2023-06-04 14:20:00,2023-06-04 14:43:00,W71,2,1
100,2023-06-04 14:20:00,2023-06-04 14:08:00,N30,3,1
101,2023-06-04 14:25:00,2023-06-04 13:52:00,S33,2,1
102,2023-06-04 14:25:00,2023-06-04 14:32:00,N60,2,1
103,2023-06-04 14:35:00,2023-06-04 14:24:00,W44,3,1
104,2023-06-04 14:40:00,2023-06-04 15:17:00,N24,3,1
105,2023-06-04 14:45:00,2023-06-04 14:57:00,R16,3,1
106,2023-06-04 14:50:00,2023-06-04 14:49:00,R13,2,1
107,2023-06-04 14:55:00,2023-06-04 14:00:00,N34,2,1
108,2023-06-04 14:55:00,2023-06-04 14:29:00,S47,2,1
109,2023-06-04 15:00:00,2023-06-04 14:57:00,R17,3,1
110,2023-06-04 15:00:00,2023-06-04 15:23:00,W40,3,1
111,2023-06-04 15:00:00,2023-06-04 14:42:00,S41,3,1
112,2023-06-04 15:00:00,2023-06-04 14:31:00,S43,2,1
113,2023-06-04 15:05:00,2023-06-04 14:58:00,S29,2,1
114,2023-06-04 15:05:00,2023-06-04 14:40:00,N32,3,1
115,2023-06-04 15:15:00,2023-06-04 15:12:00,S27,3,1
116,2023-06-04 15:20:00,2023-06-04 15:08:00,W69,2,1
117,2023-06-04 15:25:00,2023-06-04 15:40:00,S4,3,1
118,2023-06-04 15:25:00,2023-06-04 16:22:00,N26,3,1
119,2023-06-04 15:30:00,2023-06-04 15:17:00,R19,3,1
120,2023-06-04 15:30:00,2023-06-04 15:05:00,N70,3,1
121,2023-06-04 15:45:00,2023-06-04 15:38:00,S25,3,1
122,2023-06-04 15:55:00,2023-06-04 15:31:00,S31,2,1
123,2023-06-04 15:55:00,2023-06-04 15:51:00,N68,3,1
124,2023-06-04 15:55:00,2023-06-04 15:48:00,S49,2,1
125,2023-06-04 16:00:00,2023-06-04 16:02:00,S11,2,1
126,2023-06-04 16:00:00,2023-06-04 16:05:00,S33,2,1
127,2023-06-04 16:05:00,2023-06-04 15:48:00,S45,3,1
128,2023-06-04 16:05:00,2023-06-04 17:06:00,S43,3,1
129,2023-06-04 16:15:00,2023-06-04 16:07:00,W48,3,1
130,2023-06-04 16:15:00,2023-06-04 16:02:00,W63,3,1
131,2023-06-04 16:15:00,2023-06-04 16:18:00,W65,2,1
132,2023-06-04 16:25:00,2023-06-04 16:32:00,N7,2,1
